book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
mGSGDwAAQBAJ,python,Intelligent Projects Using Python,9 real-world AI projects leveraging machine learning and deep learning with TensorFlow and Keras,Santanu Pattanayak,"Implement machine learning and deep learning methodologies to build smart, cognitive AI projects using Python Key FeaturesA go-to guide to help you master AI algorithms and concepts8 real-world projects tackling different challenges in healthcare, e-commerce, and surveillanceUse TensorFlow, Keras, and other Python libraries to implement smart AI applicationsBook Description This book will be a perfect companion if you want to build insightful projects from leading AI domains using Python. The book covers detailed implementation of projects from all the core disciplines of AI. We start by covering the basics of how to create smart systems using machine learning and deep learning techniques. You will assimilate various neural network architectures such as CNN, RNN, LSTM, to solve critical new world challenges. You will learn to train a model to detect diabetic retinopathy conditions in the human eye and create an intelligent system for performing a video-to-text translation. You will use the transfer learning technique in the healthcare domain and implement style transfer using GANs. Later you will learn to build AI-based recommendation systems, a mobile app for sentiment analysis and a powerful chatbot for carrying customer services. You will implement AI techniques in the cybersecurity domain to generate Captchas. Later you will train and build autonomous vehicles to self-drive using reinforcement learning. You will be using libraries from the Python ecosystem such as TensorFlow, Keras and more to bring the core aspects of machine learning, deep learning, and AI. By the end of this book, you will be skilled to build your own smart models for tackling any kind of AI problems without any hassle. What you will learnBuild an intelligent machine translation system using seq-2-seq neural translation machinesCreate AI applications using GAN and deploy smart mobile apps using TensorFlowTranslate videos into text using CNN and RNNImplement smart AI Chatbots, and integrate and extend them in several domainsCreate smart reinforcement, learning-based applications using Q-LearningBreak and generate CAPTCHA using Deep Learning and Adversarial Learning Who this book is for This book is intended for data scientists, machine learning professionals, and deep learning practitioners who are ready to extend their knowledge and potential in AI. If you want to build real-life smart systems to play a crucial role in every complex domain, then this book is what you need. Knowledge of Python programming and a familiarity with basic machine learning and deep learning concepts are expected to help you get the most out of the book",ISBN_13: 9781788994866; ISBN_10: 1788994868,True,True,332,Computers,en,smallThumbnail: http://books.google.com/books/content?id=mGSGDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=mGSGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,2636.11,INR,2636.11,INR,https://play.google.com/store/books/details?id=mGSGDwAAQBAJ&rdid=book-mGSGDwAAQBAJ&rdot=1&source=gbs_api,2019,Packt Publishing Ltd
BtNMDwAAQBAJ,python,Understanding Optics with Python,N/A,"Vasudevan Lakshminarayanan, Hassen Ghalila, Ahmed Ammar, L. Srinivasa Varadharajan","Optics is an enabling science that forms a basis for our technological civilization. Courses in optics are a required part of the engineering or physics undergraduate curriculum in many universities worldwide. The aim of Understanding Optics with Python is twofold: first, to describe certain basic ideas of classical physical and geometric optics; second, to introduce the reader to computer simulations of physical phenomena. The text is aimed more broadly for those who wish to use numerical/computational modeling as an educational tool that promotes interactive teaching (and learning). In addition, it offers an alternative to developing countries where the necessary equipment to carry out the appropriate experiments is not available as a result of financial constraints. This approach contributes to a better diffusion of knowledge about optics. The examples given in this book are comparable to those found in standard textbooks on optics and are suitable for self-study. This text enables the user to study and understand optics using hands-on simulations with Python. Python is our programming language of choice because of its open-source availability, extensive functionality, and an enormous online support. Essentials of programming in Python 3.x, including graphical user interface, are also provided. The codes in the book are available for download on the book’s website. Discusses most standard topics of traditional physical and geometrical optics through Python and PyQt5 Provides visualizations and in-depth descriptions of Python’s programming language and simulations Includes simulated laboratories where students are provided a ""hands-on"" exploration of Python software Coding and programming featured within the text are available for download on the book’s corresponding website. ""Understanding Optics with Python by Vasudevan Lakshminarayanan, Hassen Ghalila, Ahmed Ammar, and L. Srinivasa Varadharajan is born around a nice idea: using simulations to provide the students with a powerful tool to understand and master optical phenomena. The choice of the Python language is perfectly matched with the overall goal of the book, as the Python language provides a completely free and easy-to-learn platform with huge cross-platform compatibility, where the reader of the book can conduct his or her own numerical experiments to learn faster and better."" — Costantino De Angelis, University of Brescia, Italy ""Teaching an important programming language like Python through concrete examples from optics is a natural and, in my view, very effective approach. I believe that this book will be used by students and appreciated greatly by instructors. The topic of modelling optical effects and systems where the students should already have a physical background provides great motivation for students to learn the basics of a powerful programming language without the intimidation factor that often goes with a formal computer science course."" — John Dudley, FEMTO-ST Institute, Besançon, France",ISBN_13: 9781351648844; ISBN_10: 1351648845,True,True,342,Science,en,smallThumbnail: http://books.google.com/books/content?id=BtNMDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=BtNMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2018,CRC Press
Inc1zgEACAAJ,python,Coding,"3 Books in 1: ""Python Coding and Programming + Linux for Beginners + Learn Python Programming""","Michael Clark, Michael Learn","55 % discount for bookstores ! Now At $55.99 instead of $ 86,78 Includes 3 manuscripts Learn Python Programming In today's Industry, Python Programming is highly recommended for developing Websites. The creator of this programming language was Guido Van Rossum, released first in the year 1991. The multiple supporting programming paradigms made itself unique from other programming languages as it had some outstanding features like unique adaptability, the ability to adopt machine learning, scientific computation, cloud infrastructure and above all web development. Python's role is really commendable in both software development, as well as, web development. This book is helpful for learning everything Python has to offer.By connecting with a database system Python can read and modify files. To create workflows in Software, this language is helpful. Python also supports a dynamic type system, automatic memory management, object-oriented and structured programming. Moreover, this programming language has the potential to support the various concepts in functional and aspect-oriented programming. Where the other programming languages use semicolon or parentheses to complete a command, Python uses new lines to complete it. Python Coding and Programming Python is one of the easiest computer languages to learn. The most striking part of this language is that it is widely used in NASA. The developers should focus on the quality of the source code to simplify its uses. Other programming languages never focused on the code readability, but Python is always ready to strengthen the code readability with the help of English keywords. Writing additional code is not necessary for Python to create custom applications. When you want to learn a language understood by computers, all over the world, you should take the help of this eBook. It supports several programming paradigms like logic programming and design by contract. In late 1980, as a legatee to the ABC language, the python was conceived. The exceptional powerful ideology of this programming language has influenced many other languages, like BOO, GOBRA, JULIA, RUBY, SWIFT, etc, and those languages hire Python designs for their development. Linux for beginners For computers, servers, mainframes, mobile, and embedded devices, Linux is an open-source and community-developed and operating system. As it is an open source OS, the code is free to create Linux. That's why the appropriate skills for the users are necessary, even if they are beginners, so that they can get the best out of the operating system. This is not only used by the web programmers but also by the regular computer or laptop users and even mobile phones . Get hold of the eBook to learn more. As it is a bit different from the popular operating system like Windows or Android, it takes a little bit of time to get the hang of it. The most important thing about Linux that it is free. It is really hard to hack into Linux as it is highly secured. For different types of users, there are different flavors and the available flavors are called 'distributions'. Buy it Now and let your customers get addicted to this amazing book",ISBN_10: 1801828644; ISBN_13: 9781801828642,False,False,592,N/A,en,smallThumbnail: http://books.google.com/books/content?id=Inc1zgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api; thumbnail: http://books.google.com/books/content?id=Inc1zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2021,Mikcorp Limited
GIibCgAAQBAJ,python,Professional Python,N/A,Luke Sneeringer,"Master the secret tools every Python programmer needs to know Professional Python goes beyond the basics to teach beginner- and intermediate-level Python programmers the little-known tools and constructs that build concise, maintainable code. Design better architecture and write easy-to-understand code using highly adoptable techniques that result in more robust and efficient applications. Coverage includes Decorators, Context Managers, Magic Methods, Class Factories, Metaclasses, Regular Expressions, and more, including advanced methods for unit testing using asyncio and CLI tools. Each topic includes an explanation of the concept and a discussion on applications, followed by hands-on tutorials based on real-world scenarios. The ""Python 3 first"" approach covers multiple current versions, while ensuring long-term relevance. Python offers many tools and techniques for writing better code, but often confusing documentation leaves many programmers in the dark about how to use them. This book shines a light on these incredibly useful methods, giving you clear guidance toward building stronger applications. Learn advanced Python functions, classes, and libraries Utilize better development and testing tools Understand the ""what,"" ""when,"" ""why,"" and ""how"" More than just theory or a recipe-style walk-through, this guide helps you learn — and understand — these little-known tools and techniques. You'll streamline your workflow while improving the quality of your output, producing more robust applications with cleaner code and stronger architecture. If you're ready to take your Python skills to the next level, Professional Python is the invaluable guide that will get you there.",ISBN_13: 9781119070832; ISBN_10: 111907083X,False,True,291,Computers,en,smallThumbnail: http://books.google.com/books/content?id=GIibCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=GIibCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,706.82,INR,353.41,INR,https://play.google.com/store/books/details?id=GIibCgAAQBAJ&rdid=book-GIibCgAAQBAJ&rdot=1&source=gbs_api,2015,John Wiley & Sons
bezhAQAACAAJ,python,Python Distilled,N/A,David M. Beazley,"""Focusing on Python 3.6 and higher, this concise handbook focuses on the essential core of the language, with updated code examples to illuminate how Python works and how to structure programs that can be more easily explained, tested, and debugged. Throughout, Beazley reflects all he's learned teaching Python to scientists, engineers, and developers, and pushing the envelope of what makes Python tick.""--Page 4 of cover.",ISBN_10: 0134173279; ISBN_13: 9780134173276,False,False,0,Computers,en,smallThumbnail: http://books.google.com/books/content?id=bezhAQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api; thumbnail: http://books.google.com/books/content?id=bezhAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2021,Pearson
6AuLDwAAQBAJ,python,Neural Network Projects with Python,The ultimate guide to using Python to explore the true power of neural networks through six projects,James Loy,"Build your Machine Learning portfolio by creating 6 cutting-edge Artificial Intelligence projects using neural networks in Python Key FeaturesDiscover neural network architectures (like CNN and LSTM) that are driving recent advancements in AIBuild expert neural networks in Python using popular libraries such as KerasIncludes projects such as object detection, face identification, sentiment analysis, and moreBook Description Neural networks are at the core of recent AI advances, providing some of the best resolutions to many real-world problems, including image recognition, medical diagnosis, text analysis, and more. This book goes through some basic neural network and deep learning concepts, as well as some popular libraries in Python for implementing them. It contains practical demonstrations of neural networks in domains such as fare prediction, image classification, sentiment analysis, and more. In each case, the book provides a problem statement, the specific neural network architecture required to tackle that problem, the reasoning behind the algorithm used, and the associated Python code to implement the solution from scratch. In the process, you will gain hands-on experience with using popular Python libraries such as Keras to build and train your own neural networks from scratch. By the end of this book, you will have mastered the different neural network architectures and created cutting-edge AI projects in Python that will immediately strengthen your machine learning portfolio. What you will learnLearn various neural network architectures and its advancements in AIMaster deep learning in Python by building and training neural networkMaster neural networks for regression and classificationDiscover convolutional neural networks for image recognitionLearn sentiment analysis on textual data using Long Short-Term MemoryBuild and train a highly accurate facial recognition security systemWho this book is for This book is a perfect match for data scientists, machine learning engineers, and deep learning enthusiasts who wish to create practical neural network projects in Python. Readers should already have some basic knowledge of machine learning and neural networks.",ISBN_13: 9781789133318; ISBN_10: 1789133319,True,True,301,Computers,en,smallThumbnail: http://books.google.com/books/content?id=6AuLDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=6AuLDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,2636.11,INR,2636.11,INR,https://play.google.com/store/books/details?id=6AuLDwAAQBAJ&rdid=book-6AuLDwAAQBAJ&rdot=1&source=gbs_api,2019,Packt Publishing Ltd
j-6iDwAAQBAJ,python,Hands-On Web Scraping with Python,"Perform advanced scraping operations using various Python libraries and tools such as Selenium, Regex, and others",Anish Chapagain,"Collect and scrape different complexities of data from the modern Web using the latest tools, best practices, and techniques Key Features Learn different scraping techniques using a range of Python libraries such as Scrapy and Beautiful Soup Build scrapers and crawlers to extract relevant information from the web Automate web scraping operations to bridge the accuracy gap and manage complex business needs Book DescriptionWeb scraping is an essential technique used in many organizations to gather valuable data from web pages. This book will enable you to delve into web scraping techniques and methodologies. The book will introduce you to the fundamental concepts of web scraping techniques and how they can be applied to multiple sets of web pages. You'll use powerful libraries from the Python ecosystem such as Scrapy, lxml, pyquery, and bs4 to carry out web scraping operations. You will then get up to speed with simple to intermediate scraping operations such as identifying information from web pages and using patterns or attributes to retrieve information. This book adopts a practical approach to web scraping concepts and tools, guiding you through a series of use cases and showing you how to use the best tools and techniques to efficiently scrape web pages. You'll even cover the use of other popular web scraping tools, such as Selenium, Regex, and web-based APIs. By the end of this book, you will have learned how to efficiently scrape the web using different techniques with Python and other popular tools.What you will learn Analyze data and information from web pages Learn how to use browser-based developer tools from the scraping perspective Use XPath and CSS selectors to identify and explore markup elements Learn to handle and manage cookies Explore advanced concepts in handling HTML forms and processing logins Optimize web securities, data storage, and API use to scrape data Use Regex with Python to extract data Deal with complex web entities by using Selenium to find and extract data Who this book is for This book is for Python programmers, data analysts, web scraping newbies, and anyone who wants to learn how to perform web scraping from scratch. If you want to begin your journey in applying web scraping techniques to a range of web pages, then this book is what you need! A working knowledge of the Python programming language is expected.",ISBN_13: 9781789536195; ISBN_10: 1789536197,True,True,337,Computers,en,smallThumbnail: http://books.google.com/books/content?id=j-6iDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=j-6iDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,3515.21,INR,3515.21,INR,https://play.google.com/store/books/details?id=j-6iDwAAQBAJ&rdid=book-j-6iDwAAQBAJ&rdot=1&source=gbs_api,2019,Packt Publishing Ltd
2XQM7QiTqw4C,python,Financial Modelling in Python,N/A,"Shayne Fletcher, Christopher Gardner","""Fletcher and Gardner have created a comprehensive resource that will be of interest not only to those working in the field of finance, but also to those using numerical methods in other fields such as engineering, physics, and actuarial mathematics. By showing how to combine the high-level elegance, accessibility, and flexibility of Python, with the low-level computational efficiency of C++, in the context of interesting financial modeling problems, they have provided an implementation template which will be useful to others seeking to jointly optimize the use of computational and human resources. They document all the necessary technical details required in order to make external numerical libraries available from within Python, and they contribute a useful library of their own, which will significantly reduce the start-up costs involved in building financial models. This book is a must read for all those with a need to apply numerical methods in the valuation of financial claims."" –David Louton, Professor of Finance, Bryant University This book is directed at both industry practitioners and students interested in designing a pricing and risk management framework for financial derivatives using the Python programming language. It is a practical book complete with working, tested code that guides the reader through the process of building a flexible, extensible pricing framework in Python. The pricing frameworks' loosely coupled fundamental components have been designed to facilitate the quick development of new models. Concrete applications to real-world pricing problems are also provided. Topics are introduced gradually, each building on the last. They include basic mathematical algorithms, common algorithms from numerical analysis, trade, market and event data model representations, lattice and simulation based pricing, and model development. The mathematics presented is kept simple and to the point. The book also provides a host of information on practical technical topics such as C++/Python hybrid development (embedding and extending) and techniques for integrating Python based programs with Microsoft Excel.",ISBN_13: 9780470747896; ISBN_10: 0470747897,False,True,244,Business & Economics,en,smallThumbnail: http://books.google.com/books/content?id=2XQM7QiTqw4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=2XQM7QiTqw4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,14512.82,INR,14512.82,INR,https://play.google.com/store/books/details?id=2XQM7QiTqw4C&rdid=book-2XQM7QiTqw4C&rdot=1&source=gbs_api,2010,John Wiley & Sons
VCX0KrcGQpcC,python,Core Python Programming,N/A,Chun,"This is the eBook version of the printed book. If the print book includes a CD-ROM, this content is not included within the eBook version. The Complete Developer's Guide to Python New to Python? The definitive guide.",ISBN_10: 8131711889; ISBN_13: 9788131711880,False,True,1120,N/A,en,smallThumbnail: http://books.google.com/books/content?id=VCX0KrcGQpcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=VCX0KrcGQpcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2006,Pearson Education India
NIqNDQAAQBAJ,python,Head First Python,A Brain-Friendly Guide,Paul Barry,"Want to learn the Python language without slogging your way through how-to manuals? With Head First Python, you’ll quickly grasp Python’s fundamentals, working with the built-in data structures and functions. Then you’ll move on to building your very own webapp, exploring database management, exception handling, and data wrangling. If you’re intrigued by what you can do with context managers, decorators, comprehensions, and generators, it’s all here. This second edition is a complete learning experience that will help you become a bonafide Python programmer in no time. Why does this book look so different? Based on the latest research in cognitive science and learning theory, Head First Pythonuses a visually rich format to engage your mind, rather than a text-heavy approach that puts you to sleep. Why waste your time struggling with new concepts? This multi-sensory learning experience is designed for the way your brain really works.",ISBN_13: 9781491919491; ISBN_10: 1491919493,True,True,624,Computers,en,smallThumbnail: http://books.google.com/books/content?id=NIqNDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=NIqNDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3,4.5,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2016,"""O'Reilly Media, Inc."""
tIaZzgEACAAJ,python,Coding for Beginners Using Python,N/A,"Eric LUTZ, Mark MATTHES","Are you new to software development? Are you curious about learning what artificial intelligence is? Do you want to master the Phyton programming language? Well, this book is your best choice! There may be a lot of different languages that you can work with when it comes to the coding that you would like to work with, but none are going to provide you with the benefits that you are working with. This language is so popular and used so often that there are a few different operating systems that already have some version of Python found on them for you to use. This can make it easier to get some of the coding done that you would like, and will ensure that you will get the best benefits out of it in no time. ★★★This book covers:★★★ ★ What Is Python and His History and Why Learn Python ★ Getting Started with Python ★ Variables and Operators ★ Basic Operators ★ Data Types in Python And so much more!! The Python language is more natural to read: If you take a look through some of the codes that we have later on in this guidebook, you will find that this is an easy task to read through some of the different parts of the law. Even if you have not been able to work with this language before, you will still be able to look at some of the systems and notice that you recognize the parts as well. The program is open source. This means that you won't have to worry about someone taking over the code and ruining it. It also means that the original Python is free and available to anyone who wants to download it. If you are curious about this world, THEN SCROLL UP THE PAGE AND CLICK TO ""BUY NOW!""",ISBN_13: 9798671367232,False,False,151,N/A,en,smallThumbnail: http://books.google.com/books/content?id=tIaZzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api; thumbnail: http://books.google.com/books/content?id=tIaZzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2020,N/A
TzTrDwAAQBAJ,python,Image Processing and Acquisition using Python,N/A,"Ravishankar Chityala, Sridevi Pudipeddi","Image Processing and Acquisition using Python provides readers with a sound foundation in both image acquisition and image processing—one of the first books to integrate these topics together. By improving readers’ knowledge of image acquisition techniques and corresponding image processing, the book will help them perform experiments more effectively and cost efficiently as well as analyze and measure more accurately. Long recognized as one of the easiest languages for non-programmers to learn, Python is used in a variety of practical examples. A refresher for more experienced readers, the first part of the book presents an introduction to Python, Python modules, reading and writing images using Python, and an introduction to images. The second part discusses the basics of image processing, including pre/post processing using filters, segmentation, morphological operations, and measurements. The second part describes image acquisition using various modalities, such as x-ray, CT, MRI, light microscopy, and electron microscopy. These modalities encompass most of the common image acquisition methods currently used by researchers in academia and industry. Features Covers both the physical methods of obtaining images and the analytical processing methods required to understand the science behind the images. Contains many examples, detailed derivations, and working Python examples of the techniques. Offers practical tips on image acquisition and processing. Includes numerous exercises to test the reader’s skills in Python programming and image processing, with solutions to selected problems, example programs, and images available on the book’s web page. New to this edition Machine learning has become an indispensable part of image processing and computer vision, so in this new edition two new chapters are included: one on neural networks and the other on convolutional neural networks. A new chapter on affine transform and many new algorithms. Updated Python code aligned to the latest version of modules.",ISBN_13: 9780429516528; ISBN_10: 0429516525,True,True,340,Mathematics,en,smallThumbnail: http://books.google.com/books/content?id=TzTrDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=TzTrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2020,CRC Press
xlSwDwAAQBAJ,python,Python 3 Image Processing,"Learn Image Processing with Python 3, NumPy, Matplotlib, and Scikit-image",Ashwin Pajankar,"Gain a working knowledge of practical image processing and with scikit-image DESCRIPTION The book has beenÊwritten in such a way that the concepts are explained in detail, givingÊadequate emphasis on code examples. To make the topics more comprehensive, screenshotsÊand code samples are furnished extensively throughout the book. The book isÊconceptualized and written in such a wayÊthat the beginner readers will findÊit very easy to understand the concepts and implement the programs. The book also featuresÊthe most current version of Raspberry Pi and associated software with it. ThisÊbook teaches novice beginners how to write interesting image processingÊprograms with scientific Python ecosystem. The book will also be helpful toÊexperienced professionals to make transition toÊrewarding careers inÊscientific Python and computer vision.Ê KEY FEATURES Comprehensive coverage of various aspects ofÊscientific Python and concepts in image processing. Covers various additional topics such as RaspberryÊPi, conda package manager, and Anaconda distribution of Python. Simple language, crystal clear approach, and straightÊforward comprehensible presentation of concepts followed by code examples andÊoutput screenshots. Adopting user-friendly style for explanation ofÊcode examples. WHAT WILL YOU LEARN Raspberry Pi, Python 3 Basics Scientific Python Ecosystem NumPy and Matplotlib Visualization withÊMatplotlib ÊBasic NumPy, Advanced Image Processing with NumPy andÊMatplotlib Getting started with scikit-image Thresholding, Histogram Equalization, andÊTransformations Kernels, Convolution, and Filters Morphological Operations and Image Restoration Noise Removal and Edge Detection Advanced Image Processing Operations WHO THIS BOOK IS FOR StudentsÊpursuing BE/BSc/ME/MSc/BTech/MTech in Computer Science, Electronics,ÊElectrical, and Mathematics PythonÊenthusiasts ComputerÊVision and Image Processing professionals AnyoneÊfond of tinkering with Raspberry Pi ResearchersÊin Computer VisionÊ Table of Contents 1. Concepts in Image Processing 2. Installing Python 3 on Windows 3.Introduction to Raspberry Pi 4. Python 3 Basics 5. Introduction to the Scientific Python Ecosystem 6. Introduction to NumPy and Matplotlib 7. Visualization with Matplotlib 8.Basic Image Processing with NumPy and Matplotlib 9. Advanced Image Processing with NumPy and Matplotlib 10. Getting Started with Scikit-Image 11. Thresholding Histogram Equalization and Transformations 12. Kernels, Convolution and Filters 13. Morphological Operations and Image Restoration 14. Noise Removal and Edge Detection 15. Advanced Image Processing Operations 16. Wrapping Up",ISBN_13: 9789388511728; ISBN_10: 9388511727,True,True,257,Computers,en,smallThumbnail: http://books.google.com/books/content?id=xlSwDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=xlSwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,1015.5,INR,507.75,INR,https://play.google.com/store/books/details?id=xlSwDwAAQBAJ&rdid=book-xlSwDwAAQBAJ&rdot=1&source=gbs_api,2019,BPB Publications
9qshEAAAQBAJ,python,Python Programming Projects & Practical for CBSE Class XI & XII,GUI Based Projects & Practical,"Vedant Bahel, Reema Thareja ",This book is designed as a guide to cater the requirement of beginner level high school (Class XI & XII CBSE) and university students willing to deploy Python projects. The objective of this book is to make students better understand about the use cases of Python fundamentals. Projects are also associated with development of Graphical User Interface for the application. The book majorly covers projects based on the following Python fundamentals: •Python variables •Python Control statements •Python functions •Python libraries •Python GUI for application development •Data management •Machine Learning This book also has solutions to all the python practical’s as per the latest CBSE syllabus for class XI and class XII.,,False,True,104,Computers,en,smallThumbnail: http://books.google.com/books/content?id=9qshEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=9qshEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,351.64,INR,246.15,INR,https://play.google.com/store/books/details?id=9qshEAAAQBAJ&rdid=book-9qshEAAAQBAJ&rdot=1&source=gbs_api,2021,Vedant Bahel
Wnr7DwAAQBAJ,python,Python Programming,"This Book Includes: Deep Learning With Keras, Convolutional Neural Networks, Machine Learning, Tensorflow, Data Analytics, Natural Language Processing, DevOps Handbook AND Adoption",Frank Millstein,"Programming With Python - 8 BOOK BUNDLE!! Deep Learning With Keras Here Is A Preview Of What You’ll Learn Here… The difference between deep learning and machine learning Deep neural networks Convolutional neural networks Building deep learning models with Keras Multi-layer perceptron network models And much more... Convolutional Neural Networks In Python Here Is A Preview Of What You’ll Learn Here… Convolutional neural networks structure How convolutional neural networks actually work Convolutional neural networks applications The importance of convolution operator How to build a simple image classification CNN And much, much more! Python Machine Learning Here Is A Preview Of What You’ll Learn Here… Basics behind machine learning techniques Most commonly used machine learning algorithms, linear and logistic regression, decision trees support vector machines, k-nearest neighbors, random forests Solving multi-clasisfication problems Data visualization with Matplotlib and data transformation with Pandas and Scikit-learn Solving multi-label classification problems And much, much more... Machine Learning With TensorFlow Here Is A Preview Of What You’ll Learn Here… What is machine learning Main uses and benefits of machine learning How to get started with TensorFlow, installing and loading data Data flow graphs and basic TensorFlow expressions Creating MNIST classifiers with one-hot transformation And much, much more... Data Analytics With Python Here Is A Preview Of What You’ll Learn Here… What is Data Analytics? Difference between data science, big data and data analytics Installing python Python data structures Pandas series and data frames And much, much more... Natural Language Processing With Python Here Is A Preview Of What You’ll Learn Here… Challenges of natural language processing How natural language processing works? Part of speech tagging N-grams Running natural language processing script And much, much more... DevOps Handbook Here Is A Preview Of What You’ll Learn Here… Issues and mistakes plaguing software development What is software development life cycle? How software development life cycle works? The origins of devops Testing and building systems tools And much, much more... DevOps Adoption Here Is A Preview Of What You’ll Learn Here… Devops definition Overcoming traditional dev and ops Devops and security integration Devops success factors Is devops right for you? And much, much more... Get this book bundle NOW and SAVE money!",,True,True,643,Computers,en,smallThumbnail: http://books.google.com/books/content?id=Wnr7DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=Wnr7DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,1111.66,INR,555.83,INR,https://play.google.com/store/books/details?id=Wnr7DwAAQBAJ&rdid=book-Wnr7DwAAQBAJ&rdot=1&source=gbs_api,2020,Frank Millstein
2Zs1EQAAQBAJ,python,Python Textbook,N/A,Manish Soni,"This book aims to be your comprehensive guide on your Python programming journey. Whether you are a complete beginner or a seasoned developer looking to deepen your Python knowledge, we have something for everyone. With hands-on examples, real-world projects, and deep explorations of Python's features and capabilities, this book will serve as both a tutorial and a reference.",ISBN_13: 9789348762023; ISBN_10: 9348762028,False,True,155,Study Aids,en,smallThumbnail: http://books.google.com/books/content?id=2Zs1EQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api; thumbnail: http://books.google.com/books/content?id=2Zs1EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,899.0,INR,449.5,INR,https://play.google.com/store/books/details?id=2Zs1EQAAQBAJ&rdid=book-2Zs1EQAAQBAJ&rdot=1&source=gbs_api,2024,N/A
